country,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Afghanistan,0,0,0,0,0,10.4,12.5,10.7,11.6,11.3,11.3,10.8,10.8
Algeria,0,8.62,8.86,9.07,8.44,7.46,6.98,6.86,6.9,6.88,6.76,6.53,6.31
Angola,0,0,0,0,0,10.4,12.4,14.8,17.3,19.9,0,0,0
Argentina,0,0,0,0,3.62,7.01,7,6.88,6.78,6.77,6.8,9.31,9.46
Armenia,0,0,0,0,33.6,33.7,33.2,35.5,36.2,36.5,37,36.6,36.7
Australia,38.9,39.4,42.1,50,49.5,62,61.6,61.5,59.4,59,58.9,60,61.5
Austria,23,22.2,21.6,20.7,20.2,20.2,19.9,19.3,19.2,19.9,20.6,21.1,21.4
Azerbaijan,25.8,24.6,24.6,25.2,25.6,24.9,23.9,22.7,22.2,21.9,22.8,22.9,23.1
Bangladesh,0,0,2.14,4.62,5.78,6.96,1.96,3.21,3.57,3.52,3.53,3.56,0
Belarus,0,0,0,12.1,13.8,15,15.9,16.4,17.2,18.6,19.6,20.6,21.5
Belgium,16.2,16.1,16.3,16.5,16.8,16.9,16.9,16.8,17.3,17.6,17.6,26.8,26.9
Benin,0,0,0,0,0,0,0,0,0,0,0,0,8.71
Bolivia,0,0,0,0,0,0,15.8,16.3,29.3,29.8,29.9,40.6,41.8
Brazil,13.2,4.22,5.88,7.5,11.4,12.8,15.9,17.6,19.9,18.7,20.5,21.3,23.2
Bulgaria,0,0,0,0,12.1,13.2,13.5,13.9,14.1,15.2,16.4,17.4,18.4
Burkina Faso,0,0,0,0,0,0,0,0,0,9.89,11.2,12.2,13.3
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,8.52
Cambodia,0,0,0,0,0,0,0,0,9.45,9.92,10.6,11.5,12.4
Cameroon,0,0,0,0,0,0,0,16.2,18.3,20.6,23.1,26.1,28.8
Canada,21.1,22.8,29.3,29.1,29,29.6,30.9,31.9,36.1,27.9,0,29.1,29.7
Chad,0,0,0,0,0,0,0,0,0,0,0,8.41,8.66
Chile,24.3,25.5,27.1,29.6,32.6,34.3,34.8,0,0,0,0,0,0
China,3.19,3.33,3.16,3.17,3.03,3.81,5.22,6.24,8.92,9.02,10.4,12.8,15.2
Colombia,7.9,9.5,17,23.4,24,28.4,29.2,15.1,15.6,16.3,19.3,20.2,22.5
"Congo, Dem. Rep.",0,0,5.35,6.47,7.79,9.41,10.6,11.6,4.46,4.76,5.02,8.18,9.83
"Congo, Rep.",0,0,0,0,0,0,0,0,32.7,35,36.9,61,65.3
Costa Rica,0,0,0,0,0,0,0,0,26.1,26,26.3,26.8,27.5
Cote d'Ivoire,0,0,0,0,17.2,17.3,17.6,17.9,18.3,18.8,19.3,19.5,0
Cuba,20.1,20.1,20.4,19.6,19.4,19.9,19.9,19.8,19.6,19.4,19.1,18.8,18.9
Czech Republic,10.4,10.6,11,11.2,11.4,11.6,11.7,11.5,11.4,11.7,11.7,12,12.2
Denmark,28,28.8,28,23.1,21.4,20.7,20.1,20,20.2,20.8,21.5,22.3,23.3
Dominican Republic,0,0,0,0,20.8,21.6,21.3,21.8,23.6,25.3,26.8,28.6,30.6
Ecuador,0,0,0,0,14,14.9,26,26.4,27.1,27.3,27.3,27.6,27.6
Egypt,19.5,21.3,5.76,5.81,5.82,5.75,5.44,5.2,5.15,5.19,5.24,5.18,0
El Salvador,0,0,0,0,0,0,0,18.6,18,17.7,17.6,17.4,17.1
Ethiopia,0,0,0,0,3.34,3.63,3.74,3.76,3.59,3.45,3.57,3.84,4.17
Finland,0,0,0,0,0,0,0,0,19.6,20.3,21,22.3,23.6
France,0,4.3,4.53,4.62,4.92,4.98,4.92,4.93,6.65,6.62,6.62,6.63,8.3
Georgia,0,0,0,0,21.7,22.6,22.6,23.3,25.2,25.7,26.3,26.8,27
Germany,8.35,8.16,8.01,7.8,7.67,7.61,7.94,7.91,7.74,7.82,9.39,9.53,9.56
Ghana,0,0,0,0,0,7.92,8.1,8.32,14.8,15.6,16.4,17.6,18.9
Greece,21.9,25.1,28.7,30.4,31,30.6,30,29.1,28.7,28.3,29.1,29.7,30.3
Guatemala,0,0,0,16.4,15.8,15.7,15.6,15.9,16.9,17.6,17.5,16.9,16.4
Guinea,0,0,0,0,0,0,0,14.3,14.5,14.8,14.9,15,14.8
Haiti,0,0,0,0,0,0,16.1,18.4,20,23.6,21.5,22.8,24.3
Honduras,0,0,0,0,0,0,0,0,0,0,12.5,13.5,14.6
"Hong Kong, China",85.7,87,88.3,90.3,92.4,93.8,0,0,0,0,0,0,0
Hungary,18.1,18.5,18.8,19,19.1,19.3,19.3,18.3,17.5,17.4,17.5,17.9,18.3
India,2.71,2.12,2.52,2.91,2.36,3.22,3.92,4.39,4.62,4.88,5.84,6.41,7.32
Indonesia,3.05,5.52,5.71,6.01,3.94,4,4.74,5.67,6.95,7.07,7.25,8.77,10.4
Iran,8.55,10.1,11.5,13.1,0,2.8,6.79,8.59,10.6,11.2,14.8,15.1,16.4
Iraq,14,19.3,20.9,22.4,23,23.2,23.5,22.8,4.49,4.28,7.69,7.34,9.93
Ireland,0,0,0,0,0,0,0,0,0,25.1,24.2,25,24.9
Israel,0,0,36.6,36,36.6,38.4,39.8,45.5,46.1,46.3,59.3,60.2,61.6
Italy,16,17.2,18.5,18.8,18.8,18.8,18.9,18.7,18.7,18.4,18.5,18.5,18.8
Japan,8.58,7.16,7.81,8.63,8.72,8.94,5.89,6.09,6.24,7.1,7.45,7.67,7.91
Jordan,0,0,0,0,0,0,0,0,19.9,19,19.2,19.2,21.1
Kazakhstan,0,0,0,0,0,6.57,6.59,7,7.77,8.27,8.76,9.48,21.9
Kenya,0,0,0,0,0,5.48,5.82,6.32,6.93,7.31,7.7,10.5,11.2
Kuwait,0,0,0,0,0,64.6,66.4,68.2,63.6,68.2,66.6,67,72.9
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,0,0,15.9
Lebanon,0,0,0,58.2,62.7,59.8,46.1,35.9,38.7,37.8,40.2,34.1,35.5
Liberia,0,0,0,0,0,0,50.2,0,0,37.4,27.1,28.4,30
Libya,0,0,0,0,0,0,0,0,19.1,18.2,17.7,17.7,17
Madagascar,0,0,0,0,0,0,0,8.68,8.64,8.51,9.56,10.8,12.2
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,5.86
Malaysia,0,0,0,0,0,9.15,11.6,14.5,18,19.2,0,0,3.16
Mali,0,0,0,0,0,0,0,0,10.4,11.6,12.5,12.7,12.9
Mauritania,0,0,0,0,0,0,0,0,0,0,0,26.1,28.3
Mexico,0,2.6,5.45,5.84,7.88,8.33,10.3,14.1,15,15.4,18.5,21.5,20.7
Mongolia,0,0,0,0,0,0,0,0,0,0,41.8,45.5,48.3
Morocco,0,8.48,9.4,10.1,10.6,10.7,15.6,16.1,16.1,16.2,19.2,18.8,24.6
Mozambique,0,0,0,0,0,0,0,0,5.75,5.23,4.66,9.04,9.01
Myanmar,7.32,7.25,7.14,7.03,6.95,6.93,7.05,7.35,7.65,8.08,10.8,11.6,2.64
Nepal,0,0,0,0,0,0,0,0,0,0,0,4.36,4.89
Netherlands,0,0,0,0,0,0,0,0,6.31,6.26,12.4,12.5,12.6
New Zealand,0,0,0,0,0,0,0,27.3,28.8,30.1,30.6,31.8,33.3
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,16.5,16.1
Niger,0,0,0,0,0,0,0,0,0,0,0,5.54,5.34
Nigeria,0,2.27,2.52,2.98,6.96,8.13,9.03,4.01,4.85,6.66,6.92,8.38,10.4
North Korea,0,0,0,8.28,10.5,11.6,12.4,12.6,12.1,11.7,11.7,11.8,12
Norway,0,0,0,0,0,0,0,0,0,0,0,0,19.2
Oman,0,0,0,0,0,0,0,0,0,0,0,27.7,30.4
Pakistan,6.93,7.82,8.74,9.56,5.07,5.06,6.11,8.83,5.85,5.91,6.02,6.18,7.35
Panama,0,0,0,0,0,0,0,37.1,40.1,40.6,41.3,42.2,43.1
Paraguay,0,0,0,0,0,0,26.1,28.4,31.9,36.6,41.4,44.4,46.8
Peru,17.3,19.5,22.1,24,25.3,0,0,0,0,0,0,0,0
Philippines,8.66,9.15,9.87,12.1,0,0,0,1.44,1.48,1.5,1.55,1.6,1.67
Poland,3.78,3.86,3.98,4.25,4.4,4.3,4.29,4.29,4.32,4.39,4.44,4.58,4.71
Portugal,17.1,18.7,21,33.9,36.4,36.8,37.4,37.7,38.1,38.2,38.7,40.3,41.9
Romania,5.38,5.96,6.79,7.85,8.24,8.45,8.68,8.79,8.81,8.93,9.23,9.28,9.37
Russia,2.84,4.57,6.47,6.82,10.1,10.9,11.5,11.9,11.9,11.4,11.6,10.6,10.8
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,8.74
Saudi Arabia,0,0,0,0,10.9,21.2,25.1,33.6,35,35.6,22.2,25.9,27
Senegal,0,0,0,0,0,18,18.4,18.5,19,19.3,19.1,18.9,18.8
Serbia,0,0,0,0,12,12,11.9,12,13.3,14.2,14.9,15.4,16
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,14.6,15.1
Singapore,100,100,100,100,100,100,100,98.7,97.2,105,0,0,0
Somalia,0,0,0,0,0,0,14.3,15.3,13.5,13.6,11.2,12.9,14.4
South Africa,6.71,6.65,11.6,15.3,19.2,19.1,19.3,21.4,26.4,30.7,32.5,34.1,26.1
South Korea,13.9,16.7,8.89,10.5,14.6,16.5,23.1,25.6,25.6,27.2,27,26.9,31.4
Spain,16,18.1,20.7,21.1,21.5,21.5,21.7,22.4,10.7,10.5,10.5,0,0
Sudan,0,0,0,0,8.03,9.36,11.7,12.8,12.8,12.9,13.1,0,0
Sweden,0,12.9,13.6,12.4,0,12.1,12.1,12.9,13.6,13.8,14.5,15.3,16.2
Switzerland,0,0,0,0,0,0,15.1,15.3,15.8,16.1,16.1,16,16.1
Syria,0,0,0,14.9,27.4,26.6,26.1,25.9,25.7,32,31.9,19.3,32.3
Taiwan,0,16.4,17.8,20.3,23.4,31.2,40.8,42.1,43.3,48.1,48.8,49.9,51.3
Tanzania,0,0,0,0,0,5.25,5.85,6.17,6.78,7.61,8.73,0,1.88
Thailand,7.85,8.12,8.43,9.08,9.97,0,0,0,0,0,3.3,5.16,5.55
Togo,0,0,0,0,0,0,0,0,20.8,23.4,22.8,22.3,22.1
Tunisia,0,0,0,0,16.4,16.8,17.9,18.6,18.2,18.4,18.9,19.5,20
Turkey,5.29,6.46,11.8,16.2,17.1,7.5,7.98,9.95,12.2,14.5,17.1,18.8,15.5
UAE,0,0,0,0,0,0,0,0,0,27.6,21.9,52.7,61.1
Uganda,0,0,0,0,0,0,0,0,5.21,5.69,6.22,6.74,7.21
UK,18.4,17.7,17.1,16.5,16,13.9,13.7,13.5,13.3,13.4,13.2,13.1,13.1
Ukraine,2.73,5.49,6.13,6.72,13.7,14.2,14.6,14.5,14.8,13.2,13.7,11.9,12.4
Uruguay,50.6,49.1,48.5,49.6,49.9,50.1,49.8,49.3,48.2,48.5,49.4,50,50.5
USA,16.5,17.8,20.1,21.5,22.7,23.5,24.9,26.9,26.3,25.4,25.4,24.4,23.9
Uzbekistan,0,11.5,11.6,11.6,11.4,10.8,10.3,9.29,8.62,8.21,7.87,7.69,7.52
Venezuela,16.2,17.1,18.1,17.8,17,21.9,26.1,24.8,23.9,30.7,30,30,33.5
Vietnam,4.29,4.39,4.54,4.8,5,6.28,6.14,6.7,7.57,2.58,3.2,6.39,10
Yemen,0,0,0,0,0,0,0,6.93,7.74,8.66,9,9.42,9.97
Zambia,0,0,0,0,0,0,0,0,10.3,11.4,12.7,13.8,15.1
Zimbabwe,0,0,0,0,0,0,10,11,11.6,12,11.6,10.9,10.3
